date,pe
2020-05-11,61.94
2020-05-12,61.71
2020-05-13,62.92
2020-05-14,62.36
2020-05-15,62.48
2020-05-18,60.81
2020-05-19,60.76
2020-05-20,61.5
2020-05-21,71.09
2020-05-22,70.74
2020-05-26,71.5
2020-05-27,71.86
2020-05-28,75.65
2020-05-29,76.68
2020-06-01,84.63
2020-06-02,86.55
2020-06-03,87.67
2020-06-04,86.16
2020-06-05,89.17
2020-06-08,90.41
2020-06-09,96.09
2020-06-10,96.8
2020-06-11,95.71
2020-06-12,116.24
2020-06-15,116.64
2020-06-16,114.16
2020-06-17,114.31
2020-06-18,109.66
2020-06-19,108.39
2020-06-22,126.57
2020-06-23,130.79
2020-06-26,27.65
2020-06-29,27.35
2020-06-30,28.24
2020-07-01,28.55
2020-07-02,28.77
2020-07-03,29.27
2020-07-06,29.73
2020-07-07,30.0
2020-07-08,30.03
2020-07-09,23.62
2020-07-10,23.53
2020-07-13,23.56
2020-07-14,23.36
2020-07-15,23.34
2020-07-16,23.4
2020-07-17,23.88
2020-07-20,24.02
2020-07-21,24.16
2020-07-22,24.23
2020-07-23,24.68
2020-07-24,24.62
2020-07-27,24.6
2020-07-28,24.81
2020-07-29,25.17
2020-07-30,24.69
2020-07-31,25.6
2020-08-03,25.61
2020-08-04,26.07
2020-08-05,26.35
2020-08-06,26.62
2020-08-07,26.76
2020-08-10,26.59
2020-08-11,26.79
2020-08-12,27.16
2020-08-13,27.53
2020-08-14,27.54
2020-08-17,28.68
2020-08-18,29.05
2020-08-19,29.52
2020-08-20,29.68
2020-08-21,30.15
2020-08-24,30.7
2020-08-25,30.98
2020-08-26,31.34
2020-08-27,31.49
2020-08-28,31.4
2020-08-31,30.2
2020-09-01,30.5
2020-09-02,30.98
2020-09-03,31.18
2020-09-04,30.84
2020-09-07,30.87
2020-09-08,30.58
2020-09-09,30.15
2020-09-10,30.76
2020-09-11,30.82
2020-09-14,32.3
2020-09-15,32.97
2020-09-16,33.91
2020-09-17,33.62
2020-09-18,34.44
2020-09-21,33.13
2020-09-22,32.52
2020-09-23,32.52
2020-09-24,31.76
2020-09-25,55.84
2020-09-28,57.48
2020-09-29,57.34
2020-09-30,57.29
2020-10-01,57.73
2020-10-05,58.03
2020-10-06,58.35
2020-10-07,58.07
2020-10-08,57.9
2020-10-09,57.72
2020-10-12,57.33
2020-10-13,57.33
2020-10-14,57.38
2020-10-15,56.38
2020-10-16,56.1
2020-10-19,56.82
2020-10-20,57.3
2020-10-21,58.0
2020-10-22,59.08
2020-10-23,58.68
2020-10-26,58.05
2020-10-27,57.42
2020-10-28,57.17
2020-10-29,56.14
2020-10-30,53.72
2020-11-02,54.09
2020-11-03,54.25
2020-11-04,54.99
2020-11-05,56.6
2020-11-06,56.32
2020-11-09,55.84
2020-11-10,51.87
2020-11-11,52.36
2020-11-12,54.65
2020-11-13,50.86
2020-11-14,51.33
2020-11-17,51.47
2020-11-18,40.08
2020-11-19,40.08
2020-11-20,40.51
2020-11-23,41.19
2020-11-24,41.55
2020-11-25,41.14
2020-11-26,41.46
2020-11-27,42.51
2020-12-01,43.0
2020-12-02,43.13
2020-12-03,43.51
2020-12-04,43.73
2020-12-07,44.33
2020-12-08,39.43
2020-12-09,39.73
2020-12-10,39.48
2020-12-11,39.68
2020-12-14,40.0
2020-12-15,40.08
2020-12-16,40.47
2020-12-17,40.45
2020-12-18,40.3
2020-12-21,38.33
2020-12-22,38.68
2020-12-23,39.79
2020-12-24,40.09
2020-12-28,40.77
2020-12-29,40.77
2020-12-30,41.01
2020-12-31,41.1
2021-01-01,42.69
2021-01-04,43.25
2021-01-05,43.51
2021-01-06,43.4
2021-01-07,43.9
2021-01-08,44.21
2021-01-11,44.17
2021-01-12,44.3
2021-01-13,44.18
2021-01-14,44.27
2021-01-15,43.8
2021-01-18,42.94
2021-01-19,43.85
2021-01-20,43.81
2021-01-21,42.15
2021-01-22,41.76
2021-01-25,41.51
2021-01-27,41.23
2021-01-28,41.33
2021-01-29,40.95
2021-02-01,40.42
2021-02-02,40.77
2021-02-03,41.28
2021-02-04,41.39
2021-02-05,41.56
2021-02-08,41.76
2021-02-09,40.4
2021-02-10,40.38
2021-02-11,40.6
2021-02-12,40.47
2021-02-15,40.55
2021-02-16,41.02
2021-02-17,41.17
2021-02-18,41.52
2021-02-19,41.18
2021-02-22,40.78
2021-02-23,41.14
2021-02-24,41.66
2021-02-25,42.34
2021-02-26,41.95
2021-03-01,42.72
2021-03-02,43.22
2021-03-03,44.08
2021-03-04,44.5
2021-03-05,43.83
2021-03-08,44.13
2021-03-09,43.75
2021-03-10,44.22
2021-03-12,44.37
2021-03-15,44.04
2021-03-16,44.16
2021-03-17,43.18
2021-03-18,42.56
2021-03-19,42.75
2021-03-22,42.85
2021-03-23,43.15
2021-03-24,42.33
2021-03-25,41.52
2021-03-26,42.01
2021-03-30,42.54
2021-03-31,43.3
2021-04-01,44.16
2021-04-05,43.46
2021-04-06,43.93
2021-04-07,44.54
2021-04-08,45.01
2021-04-09,45.25
2021-04-12,42.81
2021-04-13,43.53
2021-04-15,43.39
2021-04-16,43.76
2021-04-19,43.14
2021-04-20,43.42
2021-04-22,43.74
2021-04-23,41.97
2021-04-26,42.29
2021-04-27,42.62
2021-04-28,42.9
2021-04-29,48.15
2021-04-30,48.01
2021-05-03,47.41
2021-05-04,46.47
2021-05-05,46.6
2021-05-06,46.91
2021-05-07,46.89
2021-05-10,47.04
2021-05-11,47.18
2021-05-12,45.71
2021-05-14,44.84
2021-05-17,45.11
2021-05-18,45.38
2021-05-19,44.43
2021-05-20,43.75
2021-05-21,43.26
2021-05-24,43.46
2021-05-25,43.31
2021-05-26,43.35
2021-05-27,43.13
2021-05-28,42.89
2021-05-31,41.78
2021-06-01,40.32
2021-06-02,40.74
2021-06-03,41.15
2021-06-04,41.7
2021-06-07,42.21
2021-06-08,41.77
2021-06-09,41.2
2021-06-10,41.97
2021-06-11,42.04
2021-06-14,41.52
2021-06-15,37.93
2021-06-16,37.06
2021-06-17,36.84
2021-06-18,36.55
