date,pe,index_value,earnings,earnings_yoy
2018-08-09,28.11,11470.7001953125,408.06475259027036,4.239674725630738
2018-08-10,27.83,11429.5,410.6899029823931,4.802718553384788
2018-08-13,27.8,11355.75,408.4802158273381,4.320030855007251
2018-08-14,28.02,11435.099609375,408.10491111259813,4.253911455260173
2018-08-16,27.9,11385.0498046875,408.0663012432796,4.229600992225646
2018-08-17,28.11,11470.75,408.0665243685521,4.23996667393971
2018-08-20,28.25,11551.75,408.91150442477874,4.3332420508489955
2018-08-21,28.29,11570.900390625,409.0102647799576,4.785730737264915
2018-08-23,28.32,11582.75,408.99540960451975,5.75066738748351
2018-08-24,28.06,11557.099609375,411.87097681307915,6.3904223282706285
2018-08-27,28.72,11691.9501953125,407.1013299203517,5.1924366674140465
2018-08-28,28.66,11738.5,409.5778087927425,5.8155908507506515
2018-08-29,28.55,11691.900390625,409.5236564141856,5.808401860954904
2018-08-30,28.51,11676.7998046875,409.5685655800596,5.827169595800852
2018-08-31,28.4,11680.5,411.28521126760563,6.243526327773852
2018-09-03,28.16,11582.349609375,411.30502874200994,7.17253447186923
2018-09-04,28.01,11520.2998046875,411.2923886000535,7.170821874389355
2018-09-05,27.9,11476.9501953125,411.3602220542115,7.343348778088199
2018-09-06,28.05,11536.900390625,411.29769663547233,7.343379311338882
2018-09-07,28.17,11589.099609375,411.3986371805112,7.263016723303117
2018-09-10,27.81,11438.099609375,411.29448433567063,7.224376471760663
2018-09-11,27.44,11287.5,411.3520408163265,7.339079810324001
2018-09-12,27.64,11369.900390625,411.35674351031116,7.026402263108911
2018-09-14,28.0,11515.2001953125,411.2571498325893,7.024051760937433
2018-09-17,27.66,11377.75,411.34309472161965,7.050509136959615
2018-09-18,27.42,11278.900390625,411.338453341539,7.021244547863703
2018-09-19,27.31,11234.349609375,411.3639549386672,7.04352471283014
2018-09-21,27.09,11143.099609375,411.33627203303803,7.0137894435948756
2018-09-24,26.66,10967.400390625,411.3803597383721,7.052230519446634
2018-09-25,26.91,11067.4501953125,411.276484404032,7.02557999124207
2018-09-26,26.87,11053.7998046875,411.3807147259955,7.13469078564386
2018-09-27,26.69,10977.5498046875,411.2982317230236,7.109352713518691
2018-09-28,26.44,10930.4501953125,413.405831895329,7.670201469167903
2018-10-01,26.62,11008.2998046875,413.5349288011833,7.718930687394465
2018-10-03,26.26,10858.25,413.490099009901,7.679821357461458
2018-10-04,25.63,10599.25,413.54857588763167,7.4366171311194496
2018-10-05,24.95,10316.4501953125,413.48497776803606,7.40250804441811
2018-10-08,25.03,10348.0498046875,413.4258811301438,7.370886440444968
2018-10-09,24.91,10301.0498046875,413.5307027172822,7.431750816379723
