date,pe,index_value,earnings,earnings_yoy
2014-09-12,18.25,3360.47314453125,184.1355147688356,28.14356558569846
2014-09-15,18.28,3367.072998046875,184.19436531985093,28.170963120299717
2014-09-16,17.46,3215.031005859375,184.13694191634448,28.14505654645616
2014-09-17,17.56,3234.130126953125,184.17597533901625,28.14792313219392
2014-09-18,18.01,3316.625732421875,184.15467698067044,28.137535287181326
2014-09-19,17.83,3282.827392578125,184.11819363870586,28.099241536374308
2014-09-22,17.78,3274.577880859375,184.17198430030228,28.12295364692623
2014-09-23,17.3,3186.532470703125,184.19262836434248,28.19507401551016
2014-09-24,17.05,3152.184326171875,184.8788461097874,28.624788801911727
2014-09-25,16.54,3056.889404296875,184.8179809127494,28.59096852016436
2014-09-26,16.05,3116.0361328125,194.1455534462617,35.074564462682225
2014-09-29,16.14,3134.88525390625,194.2308087922088,35.11276784313387
2014-09-30,16.11,3127.335693359375,194.1238791656968,35.0321701668701
2014-10-01,16.11,3127.935546875,194.16111402079454,-2.535764454758349
2014-10-07,15.97,3101.136962890625,194.1851573506966,-2.611176606915455
2014-10-08,16.03,3111.986328125,194.13514211634435,-2.6297204428632703
2014-10-09,16.35,3175.68310546875,194.23138259747705,-2.5485643640466016
2014-10-10,16.04,3114.736083984375,194.1855413955346,-2.5391300405743777
2014-10-13,16.13,3131.535400390625,194.14354621144608,-2.579050854380205
2014-10-14,16.14,3132.235107421875,194.06661136442844,-2.627852361052585
2014-10-16,15.64,3036.490234375,194.148991967711,-2.55326969710592
2014-10-17,15.86,3079.438232421875,194.1638229774196,-2.5827541001671395
2014-10-20,16.15,3134.63525390625,194.09506216137774,-2.6324957247469527
2014-10-21,16.31,3165.33349609375,194.07317572616495,-2.642932804720033
2014-10-22,16.48,3198.481689453125,194.0826267872042,-2.660394951640843
2014-10-23,16.55,3198.481689453125,193.26173350169938,-3.032371954168245
2014-10-27,16.41,3184.33251953125,194.04829491354357,-2.5988995732294518
2014-10-28,16.38,3194.23193359375,195.008054553953,-2.186968417394275
2014-10-29,16.42,3202.83154296875,195.0567322149056,-2.1219965139125496
2014-10-30,16.56,3225.13037109375,194.754249462183,-2.2575018745514597
2014-10-31,16.91,3293.126953125,194.74434968214075,-2.316857926008864
2014-11-03,17.08,3333.024658203125,195.14195891119002,-2.4888656304716594
2014-11-05,17.01,3325.125244140625,195.48061400003672,-2.0110451137904217
2014-11-07,16.92,3315.9755859375,195.97964455895388,-0.9066516362626342
2014-11-10,16.86,3317.275634765625,196.7541894878781,-0.4880097571510089
2014-11-11,16.84,3342.274169921875,198.4723378813465,0.362613970568626
2014-11-12,16.92,3365.972900390625,198.93456858100618,0.6285739597154727
2014-11-13,16.86,3345.57421875,198.43263456405694,0.8415358506648207
2014-11-14,17.06,3384.1220703125,198.36588923285464,0.28299060521819186
2014-11-17,17.23,3413.720458984375,198.1265501441889,1.052617807475209
2014-11-18,17.39,3444.6689453125,198.08332060451409,1.6058108156169038
2014-11-19,16.97,3376.072509765625,198.94357747587657,4.299342439538156
2014-11-20,16.84,3361.5732421875,199.6183635503266,4.572031090959783
2014-11-21,16.81,3362.523193359375,200.03112393571536,4.755610421125112
2014-11-24,16.95,3385.52197265625,199.73580959623894,4.595985458655183
2014-11-25,16.33,3313.67578125,202.91952120330683,6.3241789945925
2014-11-26,16.46,3340.324462890625,202.9358725935981,6.195444442168707
2014-11-27,16.56,3361.373291015625,202.98147892606434,12.675851674483862
2014-11-28,16.84,3418.17041015625,202.97924050809087,12.67652549031486
2014-12-01,16.77,3403.671142578125,202.96190474526685,12.662545556114324
2014-12-02,16.97,3443.518798828125,202.91801996630085,14.401446107046677
2014-12-03,17.15,3479.567138671875,202.8902121674563,12.712138874558887
2014-12-04,17.19,3488.316650390625,202.92708844622598,14.138108223807677
2014-12-05,16.88,3456.868408203125,204.79078247648846,15.722862969278317
2014-12-08,16.64,3407.1708984375,204.75786649263821,15.641677955106514
2014-12-09,16.23,3323.875244140625,204.7982282280114,12.75356864883992
2014-12-10,16.45,3368.373046875,204.76431895896658,12.653387331378596
2014-12-11,16.26,3329.824951171875,204.7862823598939,12.670461520913046
2014-12-12,15.97,3270.72802734375,204.80451016554477,12.748420551733798
2014-12-15,15.77,3246.37939453125,205.8579197546766,13.286940255689107
2014-12-16,15.3,3150.1845703125,205.89441636029412,13.326924647082583
2014-12-17,15.2,3129.2353515625,205.87074681332237,13.254910638761142
2014-12-18,15.78,3248.279296875,205.84786418726236,13.243039689076209
2014-12-19,15.88,3269.17822265625,205.86764626298802,13.32161678579018
2014-12-22,16.04,3301.926513671875,205.855767685279,13.302960513080153
2014-12-23,15.85,3263.728271484375,205.91345561415616,13.347550449811973
2014-12-24,15.87,3267.278076171875,205.87763554958255,13.442144378999243
2014-12-26,15.99,3292.52685546875,205.91162323131644,15.011153038151193
2014-12-29,16.16,3326.275146484375,205.83385807452817,14.920421480001478
2014-12-30,16.25,3344.22412109375,205.79840745192308,14.940527406949844
2014-12-31,16.34,3363.273193359375,205.83067278821144,14.91095328263572
2015-01-01,16.36,3363.273193359375,205.57904604886156,14.767635564495718
2015-01-02,16.49,3394.571533203125,205.85636950898274,14.965205413725148
2015-01-05,16.54,3404.821044921875,205.85375120446645,14.920024805543687
2015-01-06,15.88,3269.528076171875,205.88967734079816,14.98415958278736
2015-01-07,15.84,3261.028564453125,205.87301543264678,14.936564039945122
2015-01-08,16.23,3341.524169921875,205.88565433899413,14.985506679468408
2015-01-09,16.23,3341.524169921875,205.88565433899413,15.96905300409841
2015-01-12,16.41,3378.872314453125,205.90324890025136,15.00833788417788
2015-01-13,16.32,3359.2734375,205.83783318014704,14.90913091441286
2015-01-14,16.24,3342.524169921875,205.82045381292335,14.95884219663517
2015-01-15,16.52,3401.47119140625,205.9001931843977,15.01476243270423
2015-01-16,16.64,3425.669921875,205.86958665114182,14.97796029355869
2015-01-19,16.69,3435.369384765625,205.83399549224833,14.9067948284904
2015-01-20,16.72,3442.369140625,205.88332180771533,15.010125116332818
2015-01-21,16.75,3448.61865234375,205.8876807369403,15.61693161789015
2015-01-22,16.7,3441.169189453125,206.0580352965943,15.721623337725998
2015-01-23,16.75,3441.169189453125,205.44293668376866,15.38513111249764
2015-01-27,16.77,3455.018310546875,206.0237513742919,15.702965636584644
2015-01-28,16.81,3464.06787109375,206.07185431848603,15.767306650176227
2015-01-29,17.03,3487.966552734375,204.81306827565325,15.18378521413517
2015-01-30,16.91,3487.966552734375,206.26650223148286,16.007046979550978
2015-02-02,17.03,3516.315185546875,206.47769733099676,16.0865203958104
2015-02-03,16.81,3471.167724609375,206.4942132426755,17.014457956664565
2015-02-04,16.52,3451.918701171875,208.9539165358278,18.46527400059137
2015-02-05,16.06,3375.572509765625,210.18508778117217,19.544729744471656
2015-02-06,15.87,3375.572509765625,212.70148139669976,20.980776101018584
2015-02-09,15.41,3256.978759765625,211.35488382645198,20.098316923692483
2015-02-10,15.48,3277.027587890625,211.6942886234254,19.97184941700867
2015-02-11,15.85,3364.673095703125,212.2822142399448,18.538440416668035
2015-02-12,16.04,3405.220947265625,212.29557027840556,20.18507022024709
2015-02-13,16.18,3435.71923828125,212.34358703839618,19.937430066218752
2015-02-16,16.08,3435.71923828125,213.66413173390862,20.63215054726588
2015-02-18,16.18,3428.31982421875,211.88626849312422,19.68839878580093
2015-02-19,16.13,3438.619384765625,213.18161095881123,20.125447583889233
2015-02-20,15.71,3450.11865234375,219.6128995763049,23.922140157221893
2015-02-23,15.64,3401.021240234375,217.4566010380035,22.62641052965584
2015-02-24,15.6,3393.021484375,217.50137720352564,22.64760969680413
2015-02-25,15.62,3396.12158203125,217.42135608394688,22.561924892456787
2015-02-26,15.42,3353.023681640625,217.44641255775778,22.605130931333072
2015-02-27,15.82,3440.369140625,217.46960433786347,22.72212113524974
2015-02-28,15.81,3440.369140625,217.60715626976597,22.649813064155346
2015-03-02,16.09,3499.4658203125,217.49321443831573,22.470098967016927
2015-03-03,16.27,3538.614013671875,217.49317846784726,22.436892597649404
2015-03-04,15.91,3459.218017578125,217.42413686851822,26.834031460608276
2015-03-05,15.99,3477.76708984375,217.49637835170418,26.91715491961677
2015-03-09,15.77,3428.869873046875,217.42992219701173,26.881320619284253
2015-03-10,15.79,3432.719482421875,217.39832060936513,26.777201643918545
2015-03-11,15.75,3418.370361328125,217.03938802083334,35.22510063472395
2015-03-12,16.09,3492.81640625,217.07995066811685,35.254074173995775
2015-03-13,15.73,3414.12060546875,217.04517517283853,35.24885145533785
2015-03-16,15.69,3406.4208984375,217.10776918021034,35.23299579844341
2015-03-17,15.88,3446.06884765625,217.00685438641372,35.17306949926804
2015-03-18,15.93,3457.568115234375,217.04759041019304,35.2092795172807
2015-03-19,15.8,3429.469482421875,217.05503053303005,34.88136756004523
2015-03-20,15.53,3370.07275390625,217.0040408181745,34.857084348981246
2015-03-23,15.46,3355.673583984375,217.0552124181355,34.84881620350233
2015-03-24,15.4,3343.624267578125,217.11845893364446,34.92258735246152
2015-03-25,15.38,3337.5244140625,217.00418817051363,34.796467893874336
2015-03-26,15.23,3305.526123046875,217.0404545664396,34.84658495248274
2015-03-27,14.15,3305.526123046875,233.60608643440813,45.147365354949144
2015-03-30,14.44,3377.422607421875,233.89353236993594,46.25515581087522
2015-03-31,14.42,3373.47265625,233.94401222260748,46.25440016653999
2015-04-01,14.62,3373.47265625,230.74368373803011,44.553975872687566
2015-04-06,14.64,3424.420166015625,233.9084812852203,46.21622102300806
2015-04-07,14.79,3459.468017578125,233.90588354145538,46.267401358789265
2015-04-08,14.88,3482.116943359375,234.0132354408182,46.27838165779787
2015-04-09,14.96,3499.666015625,233.9348940925802,46.25733374838088
2015-04-10,15.15,3499.666015625,231.00105713696368,20.84146661139501
2015-04-13,15.26,3499.666015625,229.33591190203146,19.92355389459326
2015-04-15,15.11,3525.0146484375,233.29018189526803,22.04230008564927
2015-04-16,14.95,3488.416748046875,233.33891291283447,22.046569330649966
2015-04-17,14.81,3488.416748046875,235.54468251498142,23.175782672240473
2015-04-20,14.46,3368.572998046875,232.95802199494292,21.88972234895008
2015-04-21,14.38,3348.323974609375,232.84589531358657,21.785280636344662
2015-04-22,14.43,3362.523193359375,233.023090322895,21.909642117664486
2015-04-23,14.37,3348.924072265625,233.04969187652227,21.927737615889242
2015-04-24,14.02,3348.924072265625,238.86762284348254,24.93307651397101
2015-04-27,13.67,3193.98193359375,233.64900757818216,22.209323521100654
2015-04-28,13.89,3246.37939453125,233.72061875674945,22.21996992181847
2015-04-29,13.91,3254.328857421875,233.9560645163102,22.413144127109753
2015-04-30,13.95,3254.328857421875,233.2852227542563,22.072959716426176
2015-05-04,14.31,3360.123291015625,234.8094542987858,22.83782865683539
2015-05-05,14.3,3359.323486328125,234.91772631665208,22.897738834613435
2015-05-06,13.61,3215.781005859375,236.28074987945445,23.62708533854967
2015-05-07,13.26,3142.934814453125,237.0237416631316,23.945250708778666
2015-05-08,13.53,3142.934814453125,232.2937778605414,21.49837676659667
2015-05-11,13.91,3281.927490234375,235.94015026846694,23.14548925424369
2015-05-12,13.54,3194.781982421875,235.95140195139402,22.739085357189225
2015-05-13,13.75,3242.379638671875,235.80942826704546,20.3983153091559
2015-05-14,14.0,3302.12646484375,235.86617606026786,20.82525300865836
2015-05-15,13.99,3302.12646484375,236.03477232621515,21.21707673182327
